book_title,authors,description,cover_img,page_count,category,location,book_format,ratings
Introduction to Algorithms,"Thomas H. Cormen, Charles E. Leiserson",An extensively revised edition of a mathematically rigorous yet accessible introduction to algorithms.,https://covers.openlibrary.org/b/id/2341462-L.jpg,1216.0,Computer Science,Lead City University,hard_copy,3
Clean Code,Robert C. Martin,"This title shows the process of cleaning code. Rather than just illustrating the end result, or just the starting and ending state, the author shows how several dozen seemingly small code changes can positively impact the performance and maintainability of an application code base.",https://covers.openlibrary.org/b/id/8065615-L.jpg,464.0,Computer Science,Obafemi Awolowo University,soft_copy,3
Computer Networks,Andrew S. Tanenbaum,"This classic reference for students, and anyone who wants to know more about connectivity, has been totally rewritten to reflect the networks of the 1990s and beyond.",https://covers.openlibrary.org/b/id/9378629-L.jpg,840.0,Computer Science,Lagos State University,soft_copy,4
Database System Concepts,Abraham Silberschatz,Presents the fundamental concepts of database management. This text is suitable for a first course in databases at the junior/senior undergraduate level or the first year graduate level.,https://covers.openlibrary.org/b/id/54871-L.jpg,1349.0,Computer Science,Babcock University,hard_copy,5
Structure and Interpretation of Computer Programs,Harold Abelson,"A new version of the classic and widely used text adapted for the JavaScript programming language. Since the publication of its first edition in 1984 and its second edition in 1996, Structure and Interpretation of Computer Programs (SICP) has influenced computer science curricula around the world. Widely adopted as a textbook, the book has its origins in a popular entry-level computer science course taught by Harold Abelson and Gerald Jay Sussman at MIT. SICP introduces the reader to central ideas of computation by establishing a series of mental models for computation. Earlier editions used the programming language Scheme in their program examples. This new version of the second edition has been adapted for JavaScript. The first three chapters of SICP cover programming concepts that are common to all modern high-level programming languages. Chapters four and five, which used Scheme to formulate language processors for Scheme, required significant revision. Chapter four offers new material, in particular an introduction to the notion of program parsing. The evaluator and compiler in chapter five introduce a subtle stack discipline to support return statements (a prominent feature of statement-oriented languages) without sacrificing tail recursion. The JavaScript programs included in the book run in any implementation of the language that complies with the ECMAScript 2020 specification, using the JavaScript package sicp provided by the MIT Press website.",http://books.google.com/books/content?id=4rtNEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,642.0,Computer Science,Landmark University,soft_copy,3
Computer Organization and Design,David A. Patterson,"""Presents the fundamentals of hardware technologies, assembly language, computer arithmetic, pipelining, memory hierarchies and I/O""--Provided by publisher.",https://covers.openlibrary.org/b/id/3935962-L.jpg,575.0,Computer Science,Redeemer's University,hard_copy,3
The Pragmatic Programmer,"Andrew Hunt, David Thomas","“One of the most significant books in my life.” –Obie Fernandez, Author, The Rails Way “Twenty years ago, the first edition of The Pragmatic Programmer completely changed the trajectory of my career. This new edition could do the same for yours.” –Mike Cohn, Author of Succeeding with Agile , Agile Estimating and Planning , and User Stories Applied “. . . filled with practical advice, both technical and professional, that will serve you and your projects well for years to come.” –Andrea Goulet, CEO, Corgibytes, Founder, LegacyCode.Rocks “. . . lightning does strike twice, and this book is proof.” –VM (Vicky) Brasseur, Director of Open Source Strategy, Juniper Networks The Pragmatic Programmer is one of those rare tech books you’ll read, re-read, and read again over the years. Whether you’re new to the field or an experienced practitioner, you’ll come away with fresh insights each and every time. Dave Thomas and Andy Hunt wrote the first edition of this influential book in 1999 to help their clients create better software and rediscover the joy of coding. These lessons have helped a generation of programmers examine the very essence of software development, independent of any particular language, framework, or methodology, and the Pragmatic philosophy has spawned hundreds of books, screencasts, and audio books, as well as thousands of careers and success stories. Now, twenty years later, this new edition re-examines what it means to be a modern programmer. Topics range from personal responsibility and career development to architectural techniques for keeping your code flexible and easy to adapt and reuse. Read this book, and you’ll learn how to: Fight software rot Learn continuously Avoid the trap of duplicating knowledge Write flexible, dynamic, and adaptable code Harness the power of basic tools Avoid programming by coincidence Learn real requirements Solve the underlying problems of concurrent code Guard against security vulnerabilities Build teams of Pragmatic Programmers Take responsibility for your work and career Test ruthlessly and effectively, including property-based testing Implement the Pragmatic Starter Kit Delight your users Written as a series of self-contained sections and filled with classic and fresh anecdotes, thoughtful examples, and interesting analogies, The Pragmatic Programmer illustrates the best approaches and major pitfalls of many different aspects of software development. Whether you’re a new coder, an experienced programmer, or a manager responsible for software projects, use these lessons daily, and you’ll quickly see improvements in personal productivity, accuracy, and job satisfaction. You’ll learn skills and develop habits and attitudes that form the foundation for long-term success in your career. You’ll become a Pragmatic Programmer. Register your book for convenient access to downloads, updates, and/or corrections as they become available. See inside book for details.",https://covers.openlibrary.org/b/id/10143650-L.jpg,391.0,Computer Science,University of Ilorin,soft_copy,3
Design Patterns,"Erich Gamma, Richard Helm","The Gang of Four’s seminal catalog of 23 patterns to solve commonly occurring design problems Patterns allow designers to create more flexible, elegant, and ultimately reusable designs without having to rediscover the design solutions themselves. Highly influential, Design Patterns is a modern classic that introduces what patterns are and how they can help you design object-oriented software and provides a catalog of simple solutions for those already programming in at last one object-oriented programming language. Each pattern: Describes the circumstances in which it is applicable, when it can be applied in view of other design constraints, and the consequences and trade-offs of using the pattern within a larger design Is compiled from real systems and based on real-world examples Includes downloadable C++ source code that demonstrates how patterns can be implemented and Python From the preface: “Once you the design patterns and have had an ‘Aha!’ (and not just a ‘Huh?’) experience with them, you won't ever think about object-oriented design in the same way. You'll have insights that can make your own designs more flexible, modular, reusable, and understandable - which is why you're interested in object-oriented technology in the first place, right?”",http://books.google.com/books/content?id=6oHuKQe3TjQC&printsec=frontcover&img=1&zoom=1&source=gbs_api,496.0,Computer Science,"Federal University of Technology, Akure",hard_copy,5
Computer Graphics: Principles and Practice,John F. Hughes,Índice: 1-Introduction. 2-Introduction to 2D Graphics using WPF. 3-An ancient renderer made modern. 4-A 2D Graphics test bed. 5-An introduction to human visual preception. 6-Introduction to Fixed-Function 3D Graphics and hierarchical modeling. 7-Essential mathematics and the geometry of 2-space and 3-space. 8-A simple way to describe shape in 2D and 3D. 9-Functions on meshes. 10-Transformations in two dimensions. 11-Transformations in three dimiensions. 12-A 2D and 3D tranformation library for graphics. 13-Camera specifications and transformations. 14-Standard approximations and representations. 15-Ray casting and rasterization. 16-Survey of real-time 3D graphics platforms. 17-Image representation and manipulation. 18-Images and signal processing. 19-Enlarging and shrinking images. 20-Textures and texture mapping. 21-Interaction techniques. 22-Splines and subdivision curves. 23-Splines and subdivision surfaces. 24-Implicit representations of shape. 25-Meshes. 26-Light. 27-Materials and scattering. 28-Color. 29-Light transport. 30-Probability and Monte Carlo integration. 31-Computing solutions to the redering equation: theoretical approaches. 32-Rendering in practice. 33-Shaders. 34-Espressive rendering. 35-Motion. 36-Visibility determination. 37-Spatial data structures. 38-Modern graphics hardware.,http://books.google.com/books/content?id=OVpsAQAAQBAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,1266.0,Computer Science,Lagos State University,hard_copy,4
"Compilers: Principles, Techniques, and Tools",Alfred V. Aho,"This book provides the foundation for understanding the theory and pracitce of compilers. Revised and updated, it reflects the current state of compilation. Every chapter has been completely revised to reflect developments in software engineering, programming languages, and computer architecture that have occurred since 1986, when the last edition published.& The authors, recognizing that few readers will ever go on to construct a compiler, retain their focus on the broader set of problems faced in software design and software development. Computer scientists, developers, & and aspiring students that want to learn how to build, maintain, and execute a compiler for a major programming language.",https://covers.openlibrary.org/b/id/134087-L.jpg,824.0,Computer Science,Covenant University,soft_copy,3
